name,fp_rate,size
SIMD-Prefix-Filter[Bloom],0.005102,419035402
SIMD-Prefix-Filter[Bloom],0.004179,452989066
SIMD-Prefix-Filter[Bloom],0.003632,486942762
SIMD-Prefix-Filter[Bloom],0.003268,520896426
SIMD-Prefix-Filter[Bloom],0.003001,554850122
SIMD-Prefix-Filter[Bloom],0.002790,588803818
SIMD-Prefix-Filter[Bloom],0.002608,622757482
SIMD-Prefix-Filter[Bloom],0.002082,758572234
SIMD-Prefix-Filter[Bloom],0.001667,928340650
